motivo;source_file;source_sheet;source_group;source_row;nome;contato;status
Contato vazio ou invalido.;Controle de CRM 2026 (1).xlsx;CRM (Empresas);Empresas;7;Goiás Tintas;;/ Estamos aguardando o contato da proprietária, já apresentamos o plano, eles tem muito interesse no plano.
Contato vazio ou invalido.;Controle de CRM 2026 (1).xlsx;CRM (Empresas);Empresas;40;COMERCIAL BOM PRECO;;/
Contato vazio ou invalido.;Controle de CRM 2026 (1).xlsx;CRM (Empresas);Empresas;70;Filtro Lube;;/
Contato vazio ou invalido.;Controle de CRM 2026 (1).xlsx;CRM (Empresas);Empresas;188;MADANI HOME;;/
Contato vazio ou invalido.;Controle de CRM 2026 (1).xlsx;CRM (Empresas);Empresas;210;SMART PURIFICADORES;;/
Contato vazio ou invalido.;Controle de CRM 2026 (1).xlsx;CRM (Empresas);Empresas;267;ADM CURSOS E TREINAMENTOS;;/
Contato vazio ou invalido.;Controle de CRM 2026 (1).xlsx;CRM (Empresas);Empresas;295;RIOVET DISTRIBUIDORA;;/
Contato vazio ou invalido.;Controle de CRM 2026 (1).xlsx;CRM (Empresas);Empresas;305;GOIANIA CONDOMINIO E LAZER - RESIDENCIAL I E II;;/
Contato vazio ou invalido.;Controle de CRM 2026 (1).xlsx;CRM (Empresas);Empresas;308;GOIANIA CONDOMINIO II;;/
Contato vazio ou invalido.;Controle de CRM 2026 (1).xlsx;CRM (Empresas);Empresas;322;OTICAS CARDOSO;;/
Contato vazio ou invalido.;Controle de CRM 2026 (1).xlsx;CRM (Empresas);Empresas;336;RM EUCAMINAS COMERCIO DE MADEIRA REFLORESTADA;;/
Contato vazio ou invalido.;Controle de CRM 2026 (1).xlsx;CRM (Empresas);Empresas;346;DEUZIRON HIDRAULICA MANUTENCAO AGRICOLA;;/
Contato vazio ou invalido.;Controle de CRM 2026 (1).xlsx;CRM (Empresas);Empresas;355;DIRETASSO ATACADISTA DA CONSTRUCAO;;/
Contato vazio ou invalido.;Controle de CRM 2026 (1).xlsx;CRM (Empresas);Empresas;392;EMPORIO DAS CASTANHAS RV;;/
Contato vazio ou invalido.;Controle de CRM 2026 (1).xlsx;CRM (Empresas);Empresas;444;BRASFERTIL;;/
Contato vazio ou invalido.;Controle de CRM 2026 (1).xlsx;CRM (Empresas);Empresas;457;BATERIAS LUXFOR;;/
Contato vazio ou invalido.;Controle de CRM 2026 (1).xlsx;CRM (Empresas);Empresas;468;RIOLUB LUBRIFICANTES;;/
Contato vazio ou invalido.;Controle de CRM 2026 (1).xlsx;CRM (Empresas);Empresas;503;IMPERIO DAS FERRAMENTAS;;/
Contato vazio ou invalido.;Controle de CRM 2026 (1).xlsx;CRM (Empresas);Empresas;507;AUTO ELETRICA INDEPENDENCIA;;/
Contato vazio ou invalido.;Controle de CRM 2026 (1).xlsx;CRM (Empresas);Empresas;524;ACERTTI;;/
Contato vazio ou invalido.;Controle de CRM 2026 (1).xlsx;CRM (Empresas);Empresas;563;Lava Jato Tok Final;;/
Lead pago sem nome ou contato valido.;Controle de Contratos Gerados pelo Marketing 2026 (1).xlsx;Vendas;Redes sociais trafego pago;5;Nome;Contato;Status
Lead organico sem nome ou contato valido.;Controle de Contratos Gerados pelo Marketing 2026 (1).xlsx;Vendas;Redes sociais organico;46;FECHADOS;13%;8
Lead pago sem nome ou contato valido.;Controle de Contratos Gerados pelo Marketing 2026 (1).xlsx;Vendas;Redes sociais trafego pago;253;FECHADOS;12%;225
Indicacao sem contato valido.;Controle de CRM 2026 (1).xlsx;PROGRAMA DE INDICACAO;Indicacoes colaborador;5;Roupa;R$ 30;
Indicacao sem contato valido.;Controle de CRM 2026 (1).xlsx;PROGRAMA DE INDICACAO;Indicacoes colaborador;6;Urna a partir;R$ 1.000;
Indicacao sem contato valido.;Controle de CRM 2026 (1).xlsx;PROGRAMA DE INDICACAO;Indicacoes colaborador;7;KM Translado;R$ 1;
Indicacao sem contato valido.;Controle de CRM 2026 (1).xlsx;PROGRAMA DE INDICACAO;Indicacoes colaborador;8;Total;R$ 2.993;
Indicacao sem contato valido.;Controle de CRM 2026 (1).xlsx;PROGRAMA DE INDICACAO;Indicacoes colaborador;9;% Desconto Associado Carência Aproximadamente;35%;
